lineId_stopIdOrigen_stopIdDestino,velocidad_promedio,muestras
2102_502301_514001,24.92,254
2273_516122_516025,47.29,7
2471_518006_518004,36.86,450
271_511416_511408,14.19,1
272_512056_502400,8.91,1
2471_518006_518003,20.91,54
437_500601_501550,10.85,307
336_513212_513310,21.84,56
304_519095_519263,26.37,276
282_513147_513093,10.89,26
336_513212_513311,30.25,2
2273_519018_519020,39.43,277
336_513212_513312,45.40,1
2242_512072_512104,15.00,100
3123_511391_511288,24.06,1
272_511235_511243,52.73,268
3132_511272_511273,21.76,226
3372_513098_513084,37.11,1
3122_511167_511182,7.24,115
3132_511272_511271,17.78,72
357_514171_514493,39.92,5
1472_501403_501851,0.07,1
303_519111_519160,17.37,439
2104_516255_516257,28.09,7
2104_516255_516256,30.78,255
2102_501400_516078,10.94,1
2473_516234_516196,22.35,84
2401_500161_514080,30.45,2
3452_514257_514392,25.89,29
427_512182_512035,20.84,42
2301_512070_512069,20.06,568
2473_515141_515139,0.11,1
2521_515238_515012,27.36,16
2473_516234_516194,25.82,1
2274_517106_517009,12.74,64
357_514171_514492,12.70,190
3172_511130_511343,35.47,2
336_513214_513001,17.58,305
311_511254_511255,26.58,403
304_519097_519098,25.88,330
2104_511423_511109,28.09,303
303_519160_519111,9.36,98
3372_513098_513099,27.91,251
2273_519018_519016,16.99,81
304_519097_519096,12.29,115
3372_513098_513097,11.24,41
2472_518049_514137,27.40,441
2101_516079_519290,24.10,6
2471_514377_514443,33.05,372
282_518158_518143,97.63,1
2841_514432_502701,22.54,3
355_514379_514415,18.30,198
3191_511359_511204,14.70,130
311_511265_502302,14.32,341
2473_515141_515146,16.45,67
131_500450_500350,39.26,1
2521_513205_513226,61.66,1
2801_519120_519205,33.42,2
282_518158_518159,34.22,208
140_501101_501051,32.91,731
282_518158_518157,14.44,42
217_511021_511215,9.40,47
2274_513280_512149,18.32,472
282_514387_514350,6.90,1
311_511254_511232,17.73,185
3122_511172_511171,9.35,197
3122_511172_511173,18.13,669
2273_514003_514408,39.53,297
3131_511481_511228,34.90,305
353_514400_500161,0.06,1
2801_518003_518089,10.31,2
3441_514213_500168,31.60,1
131_502300_501803,59.69,1
2101_516073_516235,30.63,1
357_514547_514419,5.14,7
2274_513280_512154,19.26,4
385_518115_518117,18.25,15
3441_514213_500162,6.72,1
272_512195_516063,5.95,1
385_518115_518116,32.31,338
3122_511172_511174,7.23,2
2141_515014_515010,19.68,148
3122_511172_511176,18.13,1
282_518158_518161,22.52,1
282_518158_518160,11.41,1
1571_502801_502901,30.69,5
2211_511034_502951,12.67,2
140_501250_501200,10.65,207
3172_511130_511378,50.83,2
3372_513080_513106,18.38,243
352_515248_515136,31.36,1
2401_501550_514347,0.48,1
2521_513205_513249,16.44,73
385_518115_518114,11.67,18
2121_515142_516193,28.03,2
3121_511369_511401,19.41,1
2274_512042_512043,31.22,323
2274_512042_512044,32.27,1
272_502100_513264,5.19,2
2274_512042_512041,32.27,9
2841_514081_514379,23.85,1
2104_511237_511423,0.17,1
272_502100_513263,10.28,1
2104_511237_511422,30.63,1
3131_511230_511484,16.10,1
3132_511467_511465,21.17,2
2241_513104_514014,16.94,360
3132_511467_511464,14.47,126
2241_513104_514012,34.71,1
385_518185_518118,22.30,46
3122_511351_511169,14.55,2
3131_511230_511478,13.27,57
452_512020_512021,25.69,180
452_512020_512022,11.20,6
2521_515120_515121,21.22,173
2121_514374_515012,49.54,2
3132_511467_511472,9.74,1
142_512022_500751,24.02,2
3132_511467_511471,21.70,5
3132_511467_511470,18.19,181
2841_514415_514076,33.86,313
2472_516015_516009,43.57,372
2472_516015_516007,18.08,1
2472_516015_516008,35.29,6
3011_501001_512001,11.45,2
2273_513014_513063,8.75,1
3132_511467_511476,23.39,278
3132_511467_511475,10.21,3
3132_511467_511473,7.99,1
3372_513198_513199,32.45,272
3171_511385_511162,24.48,5
3372_513198_513197,4.70,26
2242_512132_514312,6.75,1
2471_518006_518074,3.03,1
140_501201_501101,21.75,3
3422_500164_514219,24.19,418
1571_502801_502951,25.96,1
2212_514002_518030,23.30,15
321_513043_513045,32.14,1
3422_500164_514220,11.45,2
321_513043_513042,5.00,28
321_513043_513044,12.38,426
421_502350_500800,24.37,3
131_500500_504009,8.73,1
2401_501550_514391,19.99,1
377_516185_516186,40.77,273
2471_516268_516093,3.63,180
431_501651_501405,30.65,327
355_514379_514433,24.88,61
355_514379_514432,1.34,11
2104_519021_500751,10.23,1
3124_511435_511296,3.31,1
2274_502100_500601,19.61,3
131_502300_501853,8.33,5
421_500602_500800,17.27,789
3124_511435_511292,23.15,1
1571_502750_502800,5.01,90
2401_501550_514389,32.62,2
2401_501550_514387,11.62,1
2104_519022_516149,40.88,1
2473_511316_511310,20.77,3
2473_511316_511312,26.65,326
304_519130_519293,19.76,39
2273_516043_516041,24.33,293
305_512103_519165,17.29,1
377_516141_516143,2.03,1
377_516141_516142,24.02,5
305_512103_519163,7.26,20
2121_502301_502600,1.09,3
3371_513079_513080,34.53,370
2212_518148_518164,20.51,2
332_513183_513301,5.67,11
421_502050_501950,8.12,358
2212_513114_513112,38.55,379
140_501301_501251,16.96,877
2401_514396_514257,45.92,2
2101_501405_501502,21.82,381
305_502400_519041,5.34,2
376_517059_517061,9.48,203
376_517059_517060,29.41,19
217_502000_501854,6.66,39
2101_511234_511348,23.98,7
324_512176_512175,8.29,25
2241_513013_504010,29.55,1
2102_516219_516078,22.63,3
2243_500103_500100,15.09,18
2841_514029_514032,15.66,3
2841_514076_514415,11.98,33
2841_514029_514030,24.68,354
3442_500162_500166,16.69,13
2301_501401_512154,0.21,2
2801_519120_519283,23.16,136
2211_511329_511322,5.53,1
3191_511236_511203,21.04,2
142_514208_514535,42.95,428
3191_511236_511204,27.84,2
3191_511236_511202,24.59,1
2841_514236_514042,10.25,3
2841_514236_514041,17.22,362
271_511323_511099,23.37,1
2211_511329_511318,7.51,20
2211_512112_519013,38.82,2
2841_514029_514028,18.61,54
271_511323_511098,20.07,2
376_517259_517171,16.94,2
437_500850_501602,27.09,3
140_501350_501300,10.34,149
271_501900_517006,27.37,294
2241_514414_513300,22.34,1
2273_502303_516279,46.98,1
353_515193_515192,16.47,76
2212_518148_518147,27.52,29
2212_514410_502301,23.36,2
2472_518009_516239,8.32,1
1571_503006_502601,0.74,2
2524_502350_500800,26.91,1
353_515193_515190,20.84,1
2141_514367_514382,28.86,26
322_512187_500110,6.78,1
324_512176_512155,8.82,21
2472_518051_518189,20.96,106
2211_519174_519175,15.40,126
3452_514462_514434,6.45,1
370_519109_519110,37.86,170
2472_518074_518009,18.07,72
2242_514080_514346,29.35,6
441_501251_501151,0.32,1
271_511321_511319,18.76,84
441_501951_501851,27.91,444
376_517059_517015,32.74,460
271_511321_511311,21.27,1
376_517059_517014,29.56,49
421_501855_501001,18.69,2
318_511256_511232,29.43,165
2301_513279_513280,22.63,523
2473_514401_514382,32.33,366
427_513254_502100,47.10,1
2521_514316_518110,5.28,1
2212_516168_518149,12.90,41
140_501201_501151,19.16,794
1571_503002_501850,0.05,1
375_517189_517176,47.19,350
2473_516097_515139,25.72,542
2401_514347_514156,29.22,5
3781_517163_517076,27.55,111
140_501301_501201,20.67,1
355_514084_514186,18.95,183
271_511423_511109,29.14,273
217_501854_502150,18.22,1
2473_516097_515140,19.42,1
375_517217_517218,23.69,344
282_513101_513289,63.19,1
375_517217_517216,13.55,115
2243_514154_514080,22.16,12
3121_517277_511369,14.97,5
2121_513251_512003,12.93,1
3452_514462_514453,16.90,6
3452_514462_514454,32.52,3
2521_514316_518100,13.72,87
1472_501052_500152,22.48,5
2524_515088_515171,2.77,2
3192_511051_511461,18.28,3
375_517189_517187,55.69,1
1472_501052_500158,10.38,103
322_512187_512122,5.19,85
3191_511203_502305,26.99,1
2141_514376_515061,25.36,1
375_517189_517188,10.05,21
3191_511236_511244,47.32,234
318_511256_511251,16.61,2
1571_502650_502700,11.61,210
142_514020_514197,22.84,1
3452_514462_514463,20.35,170
2273_513114_513112,37.19,326
2473_515036_515132,28.80,34
376_517015_517014,15.60,2
2121_513251_512017,22.77,1
2121_514365_514382,33.19,53
3132_511270_511467,0.08,1
2473_514401_514367,40.31,12
1571_503006_502651,6.87,1
2401_514347_514134,35.02,71
271_511100_511098,87.34,1
3172_511125_511257,21.67,1
2243_514020_500165,24.15,36
2301_501401_501451,17.13,461
3371_513079_513078,22.69,47
1571_502601_502801,36.67,1
2471_515019_514076,43.53,1
272_516254_511235,24.53,2
352_514432_514446,31.68,2
2243_513107_513300,15.88,42
370_517195_517257,27.08,23
2141_515237_515238,40.96,115
2273_514002_518030,17.32,26
2141_515012_515237,41.01,117
2121_513141_504008,6.22,1
2242_514314_514128,30.30,5
3121_517275_511452,22.70,4
2242_514314_514126,31.74,404
272_501950_502000,34.95,424
352_514432_514441,15.34,2
2471_517011_516242,13.91,100
3172_502304_511252,29.44,2
4272_502400_512001,19.63,141
131_500250_500200,16.33,180
1571_501003_501653,4.55,1
2524_515153_516082,7.11,2
2274_519028_517107,0.78,1
370_519109_519264,6.65,2
2524_515153_516088,21.14,479
352_514432_514433,32.00,97
2402_513303_513149,20.44,393
3133_511458_511501,15.04,35
2121_516089_515161,20.73,324
1472_501003_501351,18.98,3
3133_511458_511502,30.49,188
318_511021_502314,35.68,1
2274_517104_517108,10.73,1
437_504017_500201,36.95,3
3121_517275_511449,26.25,82
2524_515153_516092,18.66,1
2524_515153_516090,13.34,1
1571_502601_502901,1.75,1
2121_516196_516234,30.95,348
2243_514412_514080,21.01,5
2524_516082_515064,15.91,428
2242_514080_513236,0.05,1
376_517065_500058,7.60,1
2104_511242_511424,26.32,2
2274_517104_517105,22.97,357
2274_517104_517106,23.86,1
2104_511242_511426,23.90,120
2274_517104_517103,13.14,67
2104_511242_511425,8.77,1
3441_514071_514073,16.35,6
2273_516022_516020,17.76,55
2211_518083_518037,19.35,101
336_513312_513311,14.37,9
2402_513124_513122,32.93,315
452_512022_502350,24.24,2
452_512022_502351,17.60,1
2401_514119_514343,36.90,249
2243_514049_514050,18.53,98
2243_514049_514051,17.62,1
2243_514049_514052,21.16,1
2401_500750_500851,24.81,336
2212_518147_514558,19.18,1
304_519130_519093,10.97,2
370_519282_517072,0.12,1
373_517156_517159,7.18,3
4272_501855_501651,0.21,1
334_513067_513307,14.48,638
304_519130_519099,17.00,1
2472_514017_500154,17.73,319
2472_518061_503001,34.50,451
2301_501401_513258,61.17,2
2471_514382_514367,40.55,404
2121_514365_514400,27.24,4
2121_514365_514401,34.59,7
3441_514219_514055,81.03,1
2241_514414_514413,19.94,52
352_515169_515247,22.33,1
2121_515012_515014,2.67,1
2273_516022_516028,39.95,1
2274_502000_501900,9.14,168
131_500301_500353,7.51,185
2211_515026_515025,32.26,1
2101_519142_516078,31.94,10
352_515169_515242,18.20,111
2212_513256_513327,20.10,1
131_500750_500602,13.23,236
272_516069_516068,18.55,411
318_511184_511136,38.11,218
272_516069_516066,17.37,5
2473_516097_515187,28.17,2
3124_511498_511500,16.58,4
2301_501501_501551,21.71,600
2243_513112_513063,26.87,133
2121_516089_515145,14.92,35
2521_502750_503003,33.19,229
3371_513082_513106,20.64,87
3371_513079_513106,12.41,1
431_501951_501853,21.34,347
282_513147_513148,27.33,222
2521_515115_515202,0.05,1
140_501301_501151,45.42,1
2211_518034_518046,4.68,1
2241_514414_513103,30.27,1
2301_501401_513270,4.85,1
441_501151_501051,34.15,1
272_516069_516077,46.42,1
355_514486_514195,11.54,2
2274_500105_502551,15.03,1
3413_514053_514054,33.02,129
2243_514150_514413,27.76,120
441_501251_501301,17.94,179
2401_514119_514386,26.00,100
2243_514412_514056,39.27,1
2243_514150_514412,13.18,9
272_516069_516071,26.99,35
375_517017_517228,10.26,42
3413_514053_514051,7.67,1
322_512120_512121,23.68,275
271_511109_511423,22.92,70
3413_514053_514052,12.39,2
2524_502350_500600,23.00,671
2211_518083_518085,16.63,2
2211_518083_518084,40.47,219
370_517134_519115,23.63,279
304_519097_519100,32.88,8
2842_514432_514376,48.11,1
272_501950_502050,21.54,3
2473_515187_515028,34.22,35
2524_516082_515003,19.09,2
2842_514076_514085,31.35,5
353_514302_514301,17.08,45
353_514302_514303,24.38,310
1472_501603_501801,17.66,1
353_514302_514304,36.94,1
2274_501401_501001,10.99,105
3721_517205_517204,17.19,263
1571_502701_502801,34.94,2
2402_514013_513300,17.68,7
357_514273_514279,33.18,147
1571_501003_502900,35.85,1
347_514196_514195,14.80,248
347_514196_514197,38.17,677
311_511347_511496,35.80,1
271_511469_511098,47.78,2
282_514285_514350,19.36,283
142_512022_500950,5.50,1
2473_515145_516089,26.60,253
373_517156_517126,30.72,398
2473_515145_516085,6.78,1
3442_514162_514070,23.68,1
2101_511011_511234,10.71,64
318_511335_511134,44.10,31
318_511335_511133,26.85,24
2212_513014_513035,46.52,4
2842_514076_514081,29.32,449
3132_511474_511269,56.33,1
2211_511106_511099,16.88,1
2472_517011_517119,24.80,398
2121_514367_514156,16.32,1
2471_515147_515148,35.59,469
2104_516255_516079,25.40,1
2121_514367_514155,0.40,1
347_514201_514202,26.56,3
2211_511106_511090,16.58,126
2121_515161_515146,26.81,2
2212_513063_513014,19.09,5
2211_502351_519013,35.47,4
2842_500164_503007,18.25,2
303_519160_519092,25.48,358
427_500106_501950,9.06,1
2301_512070_512008,22.61,4
2801_518003_518129,16.54,31
3121_511369_511372,8.77,1
2273_513035_513104,10.01,2
441_501051_501151,14.45,1
3121_511369_511377,18.83,1
3132_511267_511268,23.79,143
336_513058_513001,12.26,70
2473_516081_516082,18.59,349
2524_515146_516103,17.02,2
2471_518006_518165,16.39,1
1571_502850_502800,39.42,635
2274_512042_500105,26.92,1
3452_514257_514342,14.00,2
2471_515147_515151,26.18,1
131_500601_500353,0.49,1
303_519160_519081,14.32,1
357_514496_514233,26.26,3
318_502314_511135,42.07,1
441_502200_502102,8.93,101
336_513058_513014,7.43,3
3121_511369_511368,12.62,317
2243_514054_514053,7.98,3
150_501550_501403,21.98,5
2273_501101_501151,11.75,57
3411_514020_514021,42.40,368
333_513283_513045,28.40,1
1571_501003_501603,9.34,111
375_517219_517186,24.88,1
375_517219_517183,1.72,3
2273_513063_513014,22.77,4
2211_515213_511106,20.39,17
3121_511369_511394,13.27,7
3121_511369_511399,7.91,1
2104_519022_516079,15.22,76
333_513283_513030,2.76,1
2212_503001_518189,23.99,409
2841_514278_514376,13.11,107
140_501450_500159,0.02,1
2104_516262_516006,7.61,20
2141_511490_511489,10.57,3
3192_511053_511379,26.22,2
375_517219_517176,54.39,2
3441_514071_514072,39.14,354
3441_514071_514070,36.22,3
318_511133_511248,49.72,6
3411_514036_514035,24.76,105
2121_515237_516107,11.55,1
3781_517084_517083,5.83,155
2473_514371_514381,40.31,254
3441_514071_514068,51.16,1
2242_512072_512006,20.93,1
2521_513230_518152,36.62,1
2121_513325_513326,29.06,313
271_511223_511098,12.47,1
2141_511490_511491,17.91,143
1571_501003_502950,37.91,1
282_514285_514387,19.81,84
323_512185_500109,24.49,1
3721_517205_517278,18.82,292
131_500300_504009,12.67,1
3372_513198_513202,0.75,1
2241_513251_513256,28.18,306
311_511254_511031,8.13,2
3372_513198_513200,24.06,2
2212_515145_515144,18.62,55
2212_515145_515147,0.23,1
303_519083_519082,9.09,13
3371_513082_513189,4.41,1
323_512185_500111,0.29,1
3371_513082_513188,41.58,2
303_519083_519084,21.66,320
271_516233_511313,95.50,1
2273_501101_513107,26.12,1
272_516254_511243,31.41,21
371_517018_517151,8.34,7
2141_511490_511469,20.03,1
2471_516268_516134,21.69,1
311_511249_511346,28.50,416
2301_513261_513259,23.40,24
2121_516194_515144,27.68,2
336_513058_513059,20.41,343
2243_514054_514055,38.57,102
2243_514054_514056,19.36,2
140_501403_501151,6.04,1
2274_513280_512041,0.66,1
271_516128_511313,18.59,1
2301_512070_513279,33.73,2
2842_514081_503007,24.68,1
131_502300_501701,0.18,1
2273_513309_513290,20.21,2
305_519166_502400,26.31,253
271_516128_511315,0.17,1
271_516232_516231,5.39,11
2212_516192_516138,40.54,321
441_500159_501050,41.70,364
427_502400_500106,2.10,2
2141_511317_511329,33.81,102
2274_513254_512178,3.65,1
3413_514195_514194,8.56,9
2402_513147_513093,9.84,23
3131_511269_511416,36.94,2
3413_514195_514196,23.02,140
140_501250_501300,37.70,660
3131_511478_511230,29.97,335
2121_515142_516090,20.84,65
2801_518205_518090,14.08,5
441_501051_501101,8.81,123
1571_502701_502751,39.09,1
3452_514129_514458,25.36,1
3452_514129_514457,4.94,1
2273_518027_518025,17.13,46
2241_513300_513327,37.03,4
3452_514129_514456,29.86,1
2273_518027_518023,30.87,4
3452_514129_514455,16.14,185
282_518135_518155,0.73,1
2273_501151_518030,35.03,4
304_519130_519110,0.45,1
431_501853_501405,28.21,4
304_519130_519106,45.16,1
304_519130_519109,18.41,3
2102_511104_511105,27.25,226
427_512182_512144,24.76,287
318_511256_511334,35.80,3
2121_515142_516084,36.02,1
2274_501001_502100,10.46,1
2121_502301_513253,24.83,2
2121_515142_516088,18.92,1
2241_514156_500153,15.18,235
3131_511478_511226,27.52,1
2273_501151_518025,1.38,1
2273_501151_518027,15.98,1
2801_519157_518178,25.86,1
140_501201_501251,9.90,240
304_519130_519103,32.44,1
304_519130_519104,0.44,1
4272_512001_501800,23.44,1
304_519130_519105,1.24,1
2273_518027_518030,33.63,1
2102_516079_519022,22.76,252
2241_514412_500153,26.41,1
2211_516266_516244,21.26,9
2301_500251_504010,31.47,6
142_514020_514021,42.53,411
2212_518051_518189,23.50,108
3192_511048_511187,5.38,1
2104_511237_511301,36.39,163
2121_514379_500155,13.63,1
2121_515161_515042,24.11,1
371_517151_517018,39.05,555
371_517151_517016,27.87,9
2472_501050_514058,11.42,71
2402_513119_513118,18.36,54
3131_511269_511478,8.60,1
2521_514317_514316,19.93,45
2521_514317_514318,29.37,233
2402_513119_513121,15.87,307
131_500601_500301,39.98,1
3441_500168_514219,29.45,15
2842_503007_503012,24.45,24
3192_511048_511183,35.60,1
2242_514133_514346,18.47,42
323_512185_512186,16.44,209
306_519191_519189,67.13,1
323_512185_512184,12.78,4
2524_518036_516266,24.29,20
140_501150_501100,9.54,127
2212_518063_515149,22.95,69
2211_516266_516268,28.83,1
2521_515120_515236,7.95,27
131_502300_501753,44.11,3
2211_516266_516267,18.96,260
1571_502750_502900,2.12,1
3411_514041_514236,12.32,69
2273_518077_501150,14.66,1
306_519191_519192,4.65,257
306_519191_519190,19.23,47
2241_514156_500103,2.19,2
2301_513279_512008,4.67,125
2401_501550_514261,13.83,2
3442_514162_514161,10.71,14
2301_500203_500251,22.75,42
282_513093_518160,8.51,1
2212_516192_516194,12.46,2
333_513030_513294,35.29,9
2211_512112_519174,1.62,1
437_501002_501602,22.65,714
2401_501550_514259,11.27,2
2524_501551_512022,16.40,1
347_514020_514467,3.72,1
355_514186_514084,3.57,15
3131_511478_511269,37.25,1
427_512182_500106,4.14,8
2104_516255_516149,26.70,37
2841_514278_514432,16.39,340
142_512022_500851,28.23,1
3131_502311_511228,29.41,1
2211_516268_516093,4.94,148
431_502303_501951,18.80,2
3442_514162_514163,16.52,245
333_513030_513283,21.43,2
131_502300_500401,46.75,1
311_511196_511496,22.13,336
2274_512069_502100,0.20,1
3411_514236_514271,14.47,47
2141_502301_511033,14.74,1
271_516128_511309,22.46,263
2104_511237_511349,18.24,22
3452_514457_514459,8.62,2
131_500950_500850,9.47,221
2211_516268_516089,23.25,325
2243_514401_500153,26.10,25
3191_511215_511257,25.04,265
376_517064_517072,6.42,1
3191_511213_511496,22.61,219
305_512103_519041,14.82,1
333_513030_513276,27.57,6
2472_501802_517013,8.39,158
2101_502250_502303,16.27,289
2301_501401_512004,29.67,1
376_517259_517072,24.96,554
271_511223_511100,21.37,3
333_513030_513277,19.20,326
333_513030_513278,16.46,13
2401_514396_514133,14.18,59
385_514293_514292,4.47,26
2212_516120_516139,31.52,4
377_516185_516200,22.21,36
3191_511252_502314,27.15,227
2301_504010_512003,27.47,1
131_504016_504009,17.54,197
2274_512044_502551,18.87,470
305_512072_512104,14.77,98
3442_500166_514358,20.99,1
376_517064_517065,19.72,2
357_514494_514493,4.76,9
376_517064_517062,7.14,96
305_512072_512103,7.60,1
376_517064_517063,17.78,24
357_514494_514495,21.14,158
3452_514457_514456,8.60,8
3452_514457_514458,25.25,146
2212_518148_518050,35.99,415
